"raw_term","category","group","domain"
NA,"Protein Content","Composition_Nutrition","TraitGroup"
NA,"Starch","Composition_Nutrition","TraitGroup"
NA,"sugar","Composition_Nutrition","TraitGroup"
NA,"sugar content","Composition_Nutrition","TraitGroup"
NA,"Tannins","Composition_Nutrition","TraitGroup"
NA,NA,"End_Use_Quality","TraitGroup"
NA,"Beverage_Quality","End_Use_Quality","TraitGroup"
"Brewing_Quality","Beverage_Quality","End_Use_Quality","TraitGroup"
"Fermentability","Beverage_Quality","End_Use_Quality","TraitGroup"
"Malting_quality","Beverage_Quality","End_Use_Quality","TraitGroup"
"wort","Beverage_Quality","End_Use_Quality","TraitGroup"
NA,"Cooking_quality","End_Use_Quality","TraitGroup"
NA,"Food_Quality","End_Use_Quality","TraitGroup"
"Flour_Quality","Food_Quality","End_Use_Quality","TraitGroup"
"Food_Yield","Food_Quality","End_Use_Quality","TraitGroup"
"Porridge_stickiness","Food_Quality","End_Use_Quality","TraitGroup"
NA,NA,"Grain Morphology","TraitGroup"
NA,"Endosperm Texture","Grain Morphology","TraitGroup"
NA,"Grain Color","Grain Morphology","TraitGroup"
"Black","Grain Color","Grain Morphology","TraitGroup"
"Brown","Grain Color","Grain Morphology","TraitGroup"
"Cream","Grain Color","Grain Morphology","TraitGroup"
"Dark","Grain Color","Grain Morphology","TraitGroup"
"Gray","Grain Color","Grain Morphology","TraitGroup"
"Maroon","Grain Color","Grain Morphology","TraitGroup"
"Pink","Grain Color","Grain Morphology","TraitGroup"
"Purple","Grain Color","Grain Morphology","TraitGroup"
"Red","Grain Color","Grain Morphology","TraitGroup"
"Tan","Grain Color","Grain Morphology","TraitGroup"
"White","Grain Color","Grain Morphology","TraitGroup"
"Yellow","Grain Color","Grain Morphology","TraitGroup"
NA,"grain length","Grain Morphology","TraitGroup"
NA,"Grain Shape","Grain Morphology","TraitGroup"
NA,"Grain Size","Grain Morphology","TraitGroup"
NA,"Hardness","Grain Morphology","TraitGroup"
NA,"hilum","Grain Morphology","TraitGroup"
NA,"morphology","Grain Morphology","TraitGroup"
NA,"testa","Grain Morphology","TraitGroup"
NA,"Texture","Grain Morphology","TraitGroup"
NA,"Vitreousness","Grain Morphology","TraitGroup"
NA,"weight","Grain Morphology","TraitGroup"
NA,"flour_semolina_ratio","Grain Morphology","TraitGroup"
NA,NA,"Postharvest_Handling","TraitGroup"
NA,"Decortication","Postharvest_Handling","TraitGroup"
NA,"Germination","Postharvest_Handling","TraitGroup"
NA,"Grinding_ability","Postharvest_Handling","TraitGroup"
NA,"Milling_Quality","Postharvest_Handling","TraitGroup"
NA,"Shattering","Postharvest_Handling","TraitGroup"
NA,"solubility","Postharvest_Handling","TraitGroup"
NA,"Storability","Postharvest_Handling","TraitGroup"
NA,"water holding capacity","Postharvest_Handling","TraitGroup"
NA,"flour_semolina_ratio","Postharvest_Handling","TraitGroup"
NA,NA,"Sensory","TraitGroup"
NA,"Aroma","Sensory","TraitGroup"
NA,"Food Elasticity","Sensory","TraitGroup"
NA,"Taste","Sensory","TraitGroup"
"sweetness","Taste","Sensory","TraitGroup"
NA,NA,"Brewer","ValueChainActor"
NA,NA,"Chef_home cook","ValueChainActor"
NA,NA,"Farmer_grower","ValueChainActor"
NA,NA,"Processor_miller","ValueChainActor"
NA,NA,"Producer","ValueChainActor"
NA,NA,"Traders","ValueChainActor"
