"sub_term","raw_term","category","group","domain"
NA,"South_Asia","Asia","Asia_and_the_Pacific","Country"
"India","South_Asia","Asia","Asia_and_the_Pacific","Country"
"Nepal","South_Asia","Asia","Asia_and_the_Pacific","Country"
NA,NA,"Oceania","Asia_and_the_Pacific","Country"
NA,"Australia_and_New_Zealand","Oceania","Asia_and_the_Pacific","Country"
"Australia","Australia_and_New_Zealand","Oceania","Asia_and_the_Pacific","Country"
NA,NA,NA,"Finger Millet","Crop"
NA,NA,NA,"Minor_Millets","Crop"
NA,NA,"Barnyard Millet","Minor_Millets","Crop"
NA,NA,"Fonio","Minor_Millets","Crop"
NA,NA,"Foxtail Millet","Minor_Millets","Crop"
NA,NA,"Kodo Millet","Minor_Millets","Crop"
NA,NA,"Little Millet","Minor_Millets","Crop"
NA,NA,NA,"Pearl Millet","Crop"
NA,NA,NA,"Sorghum","Crop"
NA,NA,NA,"Experimental","Method"
NA,NA,"Food Basket Simulation","Experimental","Method"
NA,NA,"Functional Quality Test","Experimental","Method"
NA,NA,"Germplasm Collection","Experimental","Method"
NA,NA,"Sensory Evaluation","Experimental","Method"
NA,NA,NA,"Market_Based","Method"
NA,NA,"Market Analysis","Market_Based","Method"
NA,NA,NA,"Not reported","Method"
NA,NA,NA,"Other","Method"
NA,NA,NA,"Participatory","Method"
NA,NA,"Mother-Baby Trial","Participatory","Method"
NA,NA,"Participatory Observation_Appraisal","Participatory","Method"
NA,NA,"Participatory Varietal Selection","Participatory","Method"
NA,NA,NA,"Qualitative","Method"
NA,NA,"Case Study","Qualitative","Method"
NA,NA,"Focus Group","Qualitative","Method"
NA,NA,"Interview","Qualitative","Method"
NA,NA,"Stakeholder Consultation","Qualitative","Method"
NA,NA,NA,"Quantitative","Method"
NA,NA,"Check-All-That-Apply","Quantitative","Method"
NA,NA,"Questionnaire","Quantitative","Method"
NA,NA,"Ranking","Quantitative","Method"
NA,NA,"Survey","Quantitative","Method"
NA,NA,NA,"Book","PublicationType"
NA,NA,NA,"Case Study","PublicationType"
NA,NA,NA,"Conference proceedings","PublicationType"
NA,NA,NA,"Dissertation_Thesis","PublicationType"
NA,NA,NA,"Newsletter","PublicationType"
NA,NA,NA,"Poster","PublicationType"
NA,NA,NA,"Report","PublicationType"
NA,NA,NA,"Research article","PublicationType"
NA,NA,NA,"Working paper","PublicationType"
NA,NA,NA,"Free","Software"
NA,NA,"Open_Source","Free","Software"
NA,"GRETL","Open_Source","Free","Software"
NA,"R","Open_Source","Free","Software"
NA,"VBS","Open_Source","Free","Software"
NA,NA,"Proprietary","Free","Software"
NA,"PLABSTAT","Proprietary","Free","Software"
NA,NA,NA,"Not reported","Software"
NA,NA,NA,"Paid_proprietary","Software"
NA,NA,"Excel_XLSTAT","Paid_proprietary","Software"
NA,NA,"GenStat","Paid_proprietary","Software"
NA,NA,"MINITAB","Paid_proprietary","Software"
NA,NA,"NLOGIT","Paid_proprietary","Software"
NA,NA,"NTSYS","Paid_proprietary","Software"
NA,NA,"QDA_MaxQDA","Paid_proprietary","Software"
NA,NA,"S-PLUS","Paid_proprietary","Software"
NA,NA,"SAS","Paid_proprietary","Software"
NA,NA,"Sphinx","Paid_proprietary","Software"
NA,NA,"SPSS","Paid_proprietary","Software"
NA,NA,"Stata","Paid_proprietary","Software"
NA,NA,"Statgraphics","Paid_proprietary","Software"
NA,NA,"WinStat","Paid_proprietary","Software"
NA,NA,NA,"Composition_Nutrition","TraitGroup"
NA,NA,"carbohydrate content","Composition_Nutrition","TraitGroup"
NA,NA,"Digestibility","Composition_Nutrition","TraitGroup"
NA,NA,"Fiber","Composition_Nutrition","TraitGroup"
NA,NA,"Iron","Composition_Nutrition","TraitGroup"
NA,NA,"moisture","Composition_Nutrition","TraitGroup"
NA,NA,"phenolic compounds","Composition_Nutrition","TraitGroup"
NA,NA,"Protein Content","Composition_Nutrition","TraitGroup"
NA,NA,"Starch","Composition_Nutrition","TraitGroup"
