"StudyID","VCs","Traits","Crops","Country_std","Analysis_std","Software_std","Analysis_category","Analysis_group","Software_category","Software_group","Country_category","Country_group"
944,"Farmer/grower; Consumer","Size and shape; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Finger millet","Uganda","Regression","SPSS","Regression_Predictive_Modeling","statistical inference","SPSS","Paid_proprietary","East_Africa","Africa"
944,"Farmer/grower; Consumer","Size and shape; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Finger millet","Uganda","Regression","Stata","Regression_Predictive_Modeling","statistical inference","Stata","Paid_proprietary","East_Africa","Africa"
881,"Farmer/grower","Color; End-use quality (baking, malting, etc.)","Sorghum","Ethiopia","ANOVA","SAS","Hypothesis_Testing","statistical inference","SAS","Paid_proprietary","East_Africa","Africa"
881,"Farmer/grower","Color; End-use quality (baking, malting, etc.)","Sorghum","Ethiopia","ANOVA","GenStat","Hypothesis_Testing","statistical inference","GenStat","Paid_proprietary","East_Africa","Africa"
846,"Farmer/grower","Size and shape; Micronutrients; Color","Pearl millet","Niger","Frequency","SPSS","Frequency","Descriptive_Statistics","SPSS","Paid_proprietary","West_Africa","Africa"
834,"Farmer/grower","Size and shape; Color","Sorghum","Ethiopia","ANOVA","SAS","Hypothesis_Testing","statistical inference","SAS","Paid_proprietary","East_Africa","Africa"
834,"Farmer/grower","Size and shape; Color","Sorghum","Ethiopia","LSD","SAS","Hypothesis_Testing","statistical inference","SAS","Paid_proprietary","East_Africa","Africa"
834,"Farmer/grower","Size and shape; Color","Sorghum","Ethiopia","Pair-wise rankings","SAS","Rank_choice","statistical inference","SAS","Paid_proprietary","East_Africa","Africa"
828,"Farmer/grower","Size and shape; Hardness; Grain morphology (e.g. pericarp thickness)","Sorghum","Burkina Faso","ANOVA","GenStat","Hypothesis_Testing","statistical inference","GenStat","Paid_proprietary","West_Africa","Africa"
828,"Farmer/grower","Size and shape; Hardness; Grain morphology (e.g. pericarp thickness)","Sorghum","Burkina Faso","Regression","GenStat","Regression_Predictive_Modeling","statistical inference","GenStat","Paid_proprietary","West_Africa","Africa"
828,"Farmer/grower","Size and shape; Hardness; Grain morphology (e.g. pericarp thickness)","Sorghum","Burkina Faso","Principal Component Analysis","GenStat","Dimension_Reduction","Multivariate_Analysis","GenStat","Paid_proprietary","West_Africa","Africa"
812,"Consumer","Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Pearl millet","Niger","Probit Model","S-PLUS","Regression_Predictive_Modeling","statistical inference","S-PLUS","Paid_proprietary","West_Africa","Africa"
812,"Consumer","Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Pearl millet","Niger","Chi-Square Analysis","S-PLUS","Hypothesis_Testing","statistical inference","S-PLUS","Paid_proprietary","West_Africa","Africa"
805,"Farmer/grower","Color; Other: Water-holding capacity","Sorghum","Ethiopia","Pair-wise rankings","SPSS","Rank_choice","statistical inference","SPSS","Paid_proprietary","East_Africa","Africa"
805,"Farmer/grower","Color; Other: Water-holding capacity","Sorghum","Ethiopia","marginal analysis","SPSS","Regression_Predictive_Modeling","statistical inference","SPSS","Paid_proprietary","East_Africa","Africa"
802,"Farmer/grower","Color; Sensory (aroma, taste, appearance, etc.)","Finger millet","Kenya","Kruskal-Wallis Test","SAS","Hypothesis_Testing","statistical inference","SAS","Paid_proprietary","East_Africa","Africa"
802,"Farmer/grower","Color; Sensory (aroma, taste, appearance, etc.)","Finger millet","Kenya","Kruskal-Wallis Test","SPSS","Hypothesis_Testing","statistical inference","SPSS","Paid_proprietary","East_Africa","Africa"
751,"Farmer/grower","Size and shape; Color","Sorghum","Ethiopia","ANOVA","SAS","Hypothesis_Testing","statistical inference","SAS","Paid_proprietary","East_Africa","Africa"
751,"Farmer/grower","Size and shape; Color","Sorghum","Ethiopia","LSD","SAS","Hypothesis_Testing","statistical inference","SAS","Paid_proprietary","East_Africa","Africa"
751,"Farmer/grower","Size and shape; Color","Sorghum","Ethiopia","Pair-wise rankings","SAS","Rank_choice","statistical inference","SAS","Paid_proprietary","East_Africa","Africa"
