Covidence #,Study ID,Title,Reviewer Name,DOI,Title,Journal/Publisher,Publication Date,Publication Type,Country,Time of study,Objectives,Location(s),Crop(s) studied,Type of study,How were preferences determined?,List any specific scales or methods named,How was data analyzed?,Was a statistical software used?,Size of study/respondents,Value chain actors included,Grain quality traits included,Varieties listed/mentioned?,End uses mentioned,Detailed preferences discussed in the study:,1 Crop,1 Location,1 VC Actor,1 Trait,1 Preference,1 Disaggregation,1 Statistic,2 Crop,2 Location,2 VC Actor,2 Trait,2 Preference,2 Disaggregation,2 Statistic,3 Crop,3 Location,3 VC Actor,3 Trait,3 Preference,3 Disaggregation,3 Statistic,4 Crop,4 Location,4 VC Actor,4 Trait,4 Preference,4 Disaggregation,4 Statistic,5 Crop,5 Location,5 VC Actor,5 Trait,5 Preference,5 Disaggregation,5 Statistic,6 Crop,6 Location,6 VC Actor,6 Trait,6 Preference,6 Disaggregation,6 Statistic,7 Crop,7 Location,7 VC Actor,7 Trait,7 Preference,7 Disaggregation,7 Statistic,8 Crop,8 Location,8 VC Actor,8 Trait,8 Preference,8 Disaggregation,8 Statistic,9 Crop,9 Location,9 VC Actor,9 Trait,9 Preference,9 Disaggregation,9 Statistic,10 Crop,10 Location,10 VC Actor,10 Trait,10 Preference,10 Disaggregation,10 Statistic,Disaggregating variables,Explanation for any disaggregation,Key findings
881,Belay 2021,Participatory on farm evaluation of improved Sorghum varieties in North Gondar areas of Ethiopia.,Consensus,10.1080/23311932.2021.1871809,Participatory on farm evaluation of improved sorghum varieties in North Gondar areas of Ethiopia,Cogent Food & Agriculture,11 February 2021,Research article,Ethiopia,2015-2016,"identify farmer preferred plant traits, high yielding and well adaptable improved sorghum varieties through farmer's participation in decision making during the selection process.",North Gondar,Sorghum,Mixed methods,Focus group; Ranking; Participatory plant breeding; Observations,"","ANOVA, Stability analysis",SAS; Other: Genstat,48 farmers ,Farmer/grower,"Color; End-use quality (baking, malting, etc.)",Yes,"Injera, Porridge, Local beverages (Tella) ","",Sorghum,Ethiopia,Farmer/grower,grain color,White,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"","Farmers in Ethiopia, especially women, prefer white sorghum grain"
867,Owere 2014,"Farmers' perceptions of finger millet production constraints, varietal preferences and their implications to finger millet breeding in Uganda.",Consensus,10.5539/jas.v6n12p126,"Farmers’ Perceptions of Finger Millet Production Constraints, Varietal Preferences and Their Implications to Finger Millet Breeding in Uganda ",Journal of Agricultural Science,15 November 2014,Research article,Uganda,"",Identify trait preferences of finger millet in Uganda,"Kumi, Bukedea, and Kaberamaido",Finger millet,"",Focus group; Survey/questionnaire; Ranking; Participatory plant breeding,"",descriptive statistics,SPSS,"60 survey, 149 FGD",Farmer/grower,"Size and shape; Color; Sensory (aroma, taste, appearance, etc.); Milling/processing quality; End-use quality (baking, malting, etc.)",Yes,"brew, bread","",Finger millet,Uganda,Farmer/grower,grain color,"brown, reddish- brown","","",Finger millet,Uganda,Farmer/grower,grain size,large,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"",Large brown/reddish finger millet grains are preferred by farmers in Uganda
850,Trouche 2006,Farmers dynamics and participatory plant breeding: the case of white grain sorghums in the northern region of Nicaragua.,Consensus,"","Dinámicas campesinas y fitomejoramiento participativo: el caso de los sorgos blancos (Sorghum bicolor, L. Moench) en la región norte de Nicaragua",Agronomía Mesoamericana,2006,Research article,Nicaragua,2002-2003,"The objective of this paper is to present a synthesis of the original results obtained during the diagnostic phase of a participatory plant breeding project in the Madriz Department of northern Nicaragua, and to examine how this specific information guided the participatory breeding activities for tortillero and millón sorghum, as well as the future dissemination of the varieties developed.","Madriz Department, North Region of Nicaragua. Villages of El Mamel, Santo Domingo, Unile y La Manzana. ",Sorghum,Mixed methods,Interview; Focus group; Participatory plant breeding,"","Newman-Keuls, Ward's",Other: MSTATC and Xlstat,62,Farmer/grower,Size and shape; Color,Yes,Tortillas for consumption,"",Sorghum,Nicaragua,Farmers,Color,"White, without stains","","",Sorghum,Nicaragua,Farmers,Size,Large size and mass,"","","",Nicaragua,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Location/geography,"","Farmers did not express a preference for improved photoperiod-insensitive sorghum (""Tortillero""), likely because current varieties already have acceptable grain qualities. Farmers prefer photoperiod-sensitive sorghum (""Millón"") that is white in color, without stains, large, and voluminous. "
846,Gaoh 2023,Establishing breeding priorities for developing biofortified high-yielding pearl millet (Pennisetum glaucum (L.) r. br.) varieties and hybrids in Dosso region of Niger.,Consensus,10.3390/agronomy13010166 ,Establishing Breeding Priorities for Developing Biofortified High-Yielding Pearl Millet (Pennisetum glaucum (L.) R. Br.) Varieties and Hybrids in Dosso Region of Niger,agronomy,4 January 2023,Research article,Niger,2017,"This participatory rural appraisal (PRA) study was conducted to understand whether farmers in Niger would prefer varieties with added nutritional value,
along with the gender-based trait priorities for breeding. In addition, other attributes that farmers prefer and the trade-offs between the nutritional and other important production/consumption attributes were evaluated. The study also aimed to segregate and record the trait preferences on gender basis.",Dogondoutchi ; Dosso ; Gaya ,Pearl millet,Mixed methods,Interview; Focus group; Survey/questionnaire; Participatory plant breeding,"",frequency distribution analysis,SPSS,150,Farmer/grower,Size and shape; Micronutrients; Color,Yes,porridge,"",Pearl Millet,Niger,Farmer/grower,grain size,large,more important to women,100%,Pearl Millet,Niger,Farmer/grower,grain color,"white, then red, then black","location, Dosso ranks mid, other districts do not. Women in 2 departments do not rank at all",50%,Pearl Millet ,Niger,Farmer/grower,Micronutrients,nutritional quality,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Gender; Location/geography,"",Farmers in Niger prefer pearl millet that is white and women particularly prefer large grains.
845,Rao 1988,Collecting pearl millet germplasm in Tanzania.,Consensus,"",Collecting pearl millet germplasm in Tanzania,FAO/IBPGR Plant Genetic Resources Newsletter ,1989,Other: Newsletter,Tanzania,1987,Collecting pearl millet germplasm to develop cultivars adapted to the unique agroclimatic conditions of Tanzania ,Dodoma ; Singida ; Caudatum ; Durra ; Mwanza ; Kondoa ; Babati ; Magu,Sorghum; Pearl millet; Finger millet,Qualitative study,Observations; Other: Collecting germplasm,"","",No/not reported,"",Farmer/grower,Size and shape; Color; Grain morphology (e.g. pericarp thickness),Yes,"ugali, beer","","Sorghum, pearl millet",Tanzania,Farmer,Color,white,"","","Sorghum, pearl millet",Tanzania,Farmer ,endosperm texture,Corneous,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"",Sorghum and pearl millet farmers in Tanzania prefer white grain with corneous endosperm
840,Mukisa 2010,Obushera: descriptive sensory profiling and consumer acceptability.,Consensus,10.1111/j.1745-459X.2009.00272.x,Obushera: Descriptive Sensory Profiling and Consumer Acceptability,Journal of Sensory Studies,2010,Research article,Uganda,"",To describe the sensory characteristics of traditionally produced Obushera and their influence on consumer acceptability.,"Kampala, Kabale, Mbarara",Sorghum; Finger millet,Mixed methods,Focus group; Survey/questionnaire; Ranking; Hedonic scale; Sensory evaluation/taste testing,"","analysis of variance, Tukey test, PCA","Other: S PLUS, XLSTAT","32 FGD, 30 untrained panel, 6 trained panel",Consumer; Processor/miller; Chef/brewer/home cook,"Size and shape; Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)",Yes,Obushera,"",Finger millet,Uganda,Consumer/producer,grain color,brown,"","","Sorghum, finger millet",Uganda,Consumer/producer,grain size,large,"","","Sorghum, finger millet",Uganda,Consumer/producer,"brewing quality, sugar ",produces sugary wort,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"",Obushera producers and consumers in Uganda preter sorghum and finger millet that is brown with large grains and produces sugary wort.
834,Hussen 2022,Adaptation and participatory evaluation of improved sorghum (Sorghum bicolor (L.) Moenech) varieties in southwestern Ethiopia.,Consensus,"",Adaptation and Participatory Evaluation of Improved Sorghum (Sorghum bicolor (L.) Moenech) Varieties in Southwestern Ethiopia,Russian Agricultural Sciences,October 23rd 2021 ,Research article,Ethiopia,2017-2018,"To improve the production and productivity of sorghum through selection of best adaptable, high yielding, and preferable varieties in Bench Sheko and Sheka Zones, or evaluating the performance of improved sorghum varieties under different agro-ecologies and for identifying selection and preference criteria of farmers for sorghum varieties.","Bench Shako  ; Sheka Zones (Yeki, Sheko, and Masha)",Sorghum,Mixed methods,Focus group; Ranking; Participatory plant breeding,"","PROC ANOVA, LSD, pair-wise matrix preference ranking",SAS,60,Farmer/grower,Size and shape; Color,Yes,Nefro ; Ariki ; Tella ; Injera ,"",Sorghum,Ethiopia,Farmer/grower,color,"brown for beverage, white for injera, red unappealing",highland farmers valued color as selection criteria while other locations did not,"",Sorghum,Ethiopia,Farmer/grower,size,larger,highland farmers valued size as selection criteria while other locations did not,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Location/geography,"","Sorghum farmers in Ethiopia prefer brown and white grain over red and large seed, particularly in the highlands."
831,Rohrbach 2001,Commercialization prospects for sorghum and pearl millet in Tanzania.,Consensus,"",Commercialization Prospects for Sorghum and Pearl Millet in Tanzania,International crops research institute for the semi-arid tropics,2001,Other: Working paper,Tanzania,1999,To determine how sorghum and pearl millet are and can be incorporated better into the Tanzanian grain market.,"Dar es Salaam, Dodoma, Moshi, Arusha, and Mwanza urban areas",Sorghum; Pearl millet,Mixed methods,Interview; Survey/questionnaire; Market data analysis/hedonic pricing,"","",No/not reported,29,Processor/miller; Chef/brewer/home cook,"Color; End-use quality (baking, malting, etc.)",No,"meal, flour, opaque beer","",Sorghum and Pearl Millet,Tanzania,Miller,Color,White,"","",Sorghum and Pearl Millet,Tanzania,Miller,Size,Large,"","",Sorghum,Tanzania,Brewer,Color,"White in Dar es Salaam, Red/Brown in Mwanza",Location,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Location/geography,"","Millers in Tanzania prefer large, white grains for meal. Whereas Brewers prefer white or red grains depending on the region."
829,Muyolo 2002,"Agromorphological variability in pearl millet (Pennisetum glaucum) in Southern Kwilu, Democratic Republic of the Congo.",Consensus,"","Variabilité agromorphologique chez le millet (Pennisetum glaucum) dans le Sud-Kwilu, République Démocratique du Congo",Plant Genetic Resources Newsletter,2002,Research article,Democratic Republic of the Congo,1999-2000,"characterize, evaluate, and identify the most performant forms of pearl millet within the indigenous varieties found in Southern Kwilu, Democratic Republic of Congo. 
To describe and evaluate these identified forms in experimental plots to assess parameters such as shape, color, size, number of plant organs, and product acceptability ",Kilamba and Gungu in the Gungu territory and Mukoso and Maziamu in the Feshi territory,Pearl millet,Experimental study,Sensory evaluation/taste testing,"","ANOVA,Least Significant Difference ",No/not reported,10,Farmer/grower; Consumer,"Size and shape; Color; Sensory (aroma, taste, appearance, etc.)",Yes,Porridge (Bouillie),"",Pearl Millet,Democratic Republic of Congo,Consumer,Shape,Tapered cylinder,"",75.8%,Pearl Millet,Democratic Republic of Congo,Consumer,Weight,Intermediate,"",75.8%,Pearl Millet,Democratic Republic of Congo,Consumer,Color,Yellow,"",100%,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"","Consumers in the Southern Kwilu region of the D.R. Congo find yellow, mid-weight, and tapered cylinder shaped pearl millet to be most desirable for porridge making."
828,Kondombo 2024,Assessing yield performance and stability of local sorghum genotypes: a methodological framework combining multi-environment trials and participatory multi-trait evaluation.,Consensus,10.1016/j.heliyon.2024.e25114,Assessing yield performance and stability of local sorghum genotypes: A methodological framework combining multi-environment trials and participatory multi-trait evaluation,Heliyon,7 February 2024,Research article,Burkina Faso,2019-2021,"To assess the performance and grain yield stability of local sorghum genotypes, as well as their acceptability by smallholder farmers","North-Sudanian zone, Burkina Faso",Sorghum,Qualitative study,Ranking; Hedonic scale,"","ANOVA, REML, GGE biplot, Finlay- Wilkinson's joint regression, PCA","Other: Genstat, XLSTAT",125-150,Farmer/grower,Size and shape; Hardness; Grain morphology (e.g. pericarp thickness),Yes,"","",Sorghum,Burkina Faso,Farmer,grain size,big and heavy,More important to men,"",Sorghum,Burkina Faso,Farmer,hardness,hard,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"",Farmers in Burkina Faso value large hard grains since they can store for longer than a year.
821,Hepworth 1992,Australian white grain sorghum as a human food.,Consensus,"",Australian White Grain Sorghum as a Human Food ,Australian Institute of Agricultural Science,"February, 1992",Conference proceedings,Australia,1990-1991,"Reports the results of a study into the marketing opportunities of white sorghum in Australia, the results of some initial research on the milling characteristics of two hybrids, discusses some perceived sorghum marketing problems and presents the characteristics of the ’ideal’ white sorghum genotype.",Australia,Sorghum,Experimental study,Other: Milling quality test ,"","",No/not reported,"",Consumer; Processor/miller,Size and shape; Color; Hardness; Grain morphology (e.g. pericarp thickness); Milling/processing quality,No,whole bread pre-mixes ; whole grain puffed ; extruded product in breakfast cereals ; snack food ,"",Sorghum,Australia,Processor/miller,Color,thin white pericarp,"","",Sorghum,Australia ,Processor/miller ,Size,Large,"","",Sorghum,Australia ,Processor/miller ,Shape,Round,"","",Sorghum,Australia,Processor/miller ,Starch,endosperm high proportion of the seed,"","",Sorghum,Australia,Processor/miller,Milling Quality,high percentage of corneous endosperm,"","",Sorghum,Australia ,Processor/miller,Processing Quality,Uniform chemical and physical properties,"","",Sorghum,Australia,Processor/miller,"Grain morphology, Hilum","Small, non-pigmented","","",Sorghum,Australia,Processor/miller,"Grain morphology, testa",absent or thin non-pigmented,"","","","","","","","","","","","","","","","",None reported,"","White grain sorghum produced to target various market opportunities should have desirable quality characteristics for the primary producer, processor and consumer."
820,Asare-Marfo 2010,Investigating farmers' choice of pearl millet varieties in India to inform targeted biofortification interventions: modalities of multi-stakeholder data collection.,Consensus,"","Investigating Farmers’ Choice of Pearl Millet Varieties in India 
to Inform Targeted Biofortification Interventions: Modalities of 
Multi-Stakeholder Data Collection","",2010,Research article,India,2007-2009,"To document/understand adoption of popular staple crop varieties and trait preferences using multiple data-collection techniques, to inform targeted breeding and dissemination of biofortified crops (incl. biofortified pearl millet).",India (Maharashtra and Rajasthan),Pearl millet,Qualitative study,Survey/questionnaire; Ranking,Computer Assisted Personal Interviews (CAPI); Pen and Paper Interviewing (PAPI); Computer Assisted Telephone Interviews (CATI); Web-based Survey,Analysis approach emphasized triangulation/cross-validation across actors and states.,No/not reported,"4,213 farmers were surveyed",Farmer/grower; Distribution/retailer/trader; Other: extension/agricultural officers and seed companies,"Color; Sensory (aroma, taste, appearance, etc.); Milling/processing quality; End-use quality (baking, malting, etc.)",Yes,Roti (bread)  ,"",Pearl millet,India,Farmer/grower,Taste,Good taste,Location/geography (state),57% of farmers cited good taste as a reason for cultivating a variety again,Pearl millet,India,Farmer/grower,Roti quality,Good roti quality,Location/geography (state),"",Pearl millet,India,Farmer/grower,"","","","",Pearl millet,India,"Farmer/grower, consumer",	Flour quality,Good flour quality,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Location/geography,"The study highlights that varietal choice patterns differ across the two states (e.g., improved/hybrid vs local varieties), motivating state-level comparison.","Pearl millet varietal choice is framed as influenced (among other factors) by consumption traits, specifically taste, grain color, and roti/bread quality. 
In preliminary farmer results, the top consumption traits reported were flour quality, taste, and grain color (noted as important in both study states)."
812,Ndjeunga 2005,Toward understanding household preference for consumption characteristics of millet varieties: a case study from western Niger.,Consensus,"",Toward understanding household preference for consumption characteristics of millet varieties: a case study from western Niger,Agricultural Economics,2005,Case study,Niger,1998,"evaluates the preferences of consumers for tuwo and couscous cooking qual-
ity characteristics in pearl millet ","Western Niger (Niamey; Villages: Berikoira, Karabedji, Gaweye, Chikal).",Pearl millet,Mixed methods,Focus group; Survey/questionnaire; Ranking; Hedonic scale; Sensory evaluation/taste testing; Choice experiment,"","random utility behavioral model, ordered probit model, categorical classification trees, chi-square",Other: S-PLUS,114,Consumer,"Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)",Yes,"Couscous, tuwo","",Pearl millet,Niger,Consumer,Color,"light, white creamed, or yellowish colors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"","Consumers in Niger want couscous and tuwo from pearl millet to have a light, creamy color "
810,Angarawai 2016,Farmer participatory varietal selection in pearl millet: experience across some states of Northern Nigeria.,Consensus,10.5897/AJAR10.638,"Farmer participatory varietal selection in pearl millet: Experience across some states of Northern Nigeria",African Journal of Agricultural Research,21 April 2016,Research article,Nigeria,2006-2008,"select from diverse and productive pearl millet lines received from ICRISAT Niamey during the BMZ and IFAD projects, that are adapted to local conditions and accepted by farmers 
and consumers’ at large using farmers’ indigenous knowledge and breeders’ scientific approach","Trials across IFAD-CBARDP sites in Northern Nigeria including states named as Kebbi, Katsina, Zamfara, Jigawa, Yobe, Borno. 
Example village/site names mentioned: Ngetera-Gubio (Borno), Tikau (Yobe), Sabon-Gari (Jigawa), Garin-Garu (Katsina), Gusau (Zamfara), Alero (Kebbi).",Sorghum; Pearl millet,Mixed methods,Interview; Focus group; Ranking; Participatory plant breeding; Other: voting/ballot paper approach (good/alternative/rejected categories recorded as %),"Ballot paper approach with color-coded votes (good/acceptable vs alternative vs rejected) for men/women and thresholds for “selected/alternative/rejected”. 
Priority ranking matrix: pair-wise comparisons by raising hands; traits ranked 1st, 2nd, etc.",Genstat Discovery Edition (individual-location analyses; combined analyses across locations/years where consistent),Other: Genstat Discovery Edition,12 villages with ~200 families,Farmer/grower,"Size and shape; Color; Hardness; Sensory (aroma, taste, appearance, etc.); Milling/processing quality; Storability",Yes,"","",Sorghum ,Nigeria,Farmer/grower,Threshability,ranked last,village,13/13,Sorghum,Nigeria,Farmer/grower,Threshability,ranked middle,village,7/13,Pearl millet,Nigeria,Farmer/grower,grain color,White,"",6-7/13,Sorghum,Nigeria,Farmer/grower,grain color,white,"",2-3/13,Pearl millet,Nigeria,Farmer/grower,grain size,bold,"",4/13,Sorghum,Nigeria,Farmer/grower,grain size,bold,"",5-9/13,Pearl millet,Nigeria,Farmer/grower,hardness,hard,"",5/13,Sorghum,Nigeria,Farmer/grower,hardness,hard,"",6-8/13,"","","","","","","","","","","","","","",Location/geography,"","Farmers in Nigeria prefer sorghum and millet to be white, bold, and hard."
805,Abeje 2016,"Participatory evaluation of hybrid sorghum technologies: in mid and low land areas of Wag Himra zone, Eastern Amhara, Ethiopia.",Consensus,10.5897/JAERD2016-0767,"Participatory evaluation of hybrid sorghum technologies: In mid and low land areas of Wag Himra  zone, Eastern Amhara, Ethiopia",Journal of Agricultural Extension and Rural Development,May 2016,Research article,Ethiopia,2013-2014,assess farmers’ technology preference parameters and enhance demand driven technology dissemination system in sorghum producing areas of Wag Himra zone,"Sekota (Aybra) and Abergele (Marnet) distribts of Wag-Himra zone, Eastern Amhara located inside Tekezie basin growth corridor of Amhara region",Sorghum,Mixed methods,Interview; Focus group; Survey/questionnaire; Ranking; Participatory plant breeding,"","Pair-wise rankings, weighted ranking matrix table, partial budgeting, dominance analysis, marginal analysis",SPSS,30,Farmer/grower,Color; Other: Water-holding capacity,Yes,Food,"",Sorghum,Ethiopia,Farmer/grower,Color,White,Abergele does not place as much emphasis on color as Sekota,"value = 4, weight = 8% = 0.08",Sorghum,Ethiopia,Farmer/grower,Water holding capacity,High capacity,"",0.10,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Location/geography,difference in livelihood and cultural make up of communities in the two districts,"White sorghum is preferred for food and marketability, but different districts place different weight on its importance"
802,Tracyline 2021,"Farmer preference for selected finger millet (Eleusine coracana) varieties in Rift Valley, Kenya.",Consensus,10.5897/JAERD2020.1187,"Farmer preference for selected finger millet (Eleusine coracana) varieties in Rift Valley, Kenya",Journal of Agricultural Extension and Rural Development,2021,Research article,Kenya,2019,"To assess the level of awareness and farmer preference of twenty-five finger millet
varieties","Rift Valley, Agri-ecological zone III (ATC-Nakuru and Bomet)",Finger millet,Mixed methods,Focus group; Ranking; Participatory plant breeding,"",Kruskal Wallis H-test,SAS; SPSS,102,Farmer/grower,"Color; Sensory (aroma, taste, appearance, etc.)",Yes,brewing,"",Finger Millet,Kenya,Farmer,Color,"red and brown in general, white for brewing",Location,ranked 12th,Finger Millet,Kenya,Farmer,Taste,good,"",ranked 11th,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Location/geography,"",Farmers in Kenya prefer good taste over good color and red/brown are the preferred colors overall. White grain is preferred specifically for brewing.
799,Ipinge 1996,Farmer participation in on-station evaluation of plant and grain traits: the case of pearl millet in Namibia.,Consensus,"",Farmer Participation in On-Station Evaluation of Plant and Grain Traits: the Case of Pearl Millet in Namibia ,ICRISAT,July 1994,Conference proceedings,Namibia,1993-1994,To determine the preferences between different pearl millet varieties among female Namibian farmers.,"",Pearl millet,Qualitative study,Interview; Ranking; Sensory evaluation/taste testing; Observations; Cooking quality test,"","",No/not reported,"",Farmer/grower,"Size and shape; Color; Sensory (aroma, taste, appearance, etc.); Milling/processing quality; End-use quality (baking, malting, etc.)",Yes,porridge,"",Pearl millet,Namibia,Farmer,Grain color,Cream or light gray,"","",Pearl millet,Namibia,Farmer,Grain size,Large,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"",Women farmers in Namibia prefer cream/light grey and large pearl millet grains.
791,Teshome 2018,"Farmers' synergistic selection criteria and practices for livelihood security through the sustainable uses of onfarm sorghum landrace diversity, Ethiopia.",Consensus,10.5897/AJAR2018.13278,"Farmers’ synergistic selection criteria and practices for livelihood security through the sustainable uses of on-farm Sorghum landrace diversity, Ethiopia",African Journal of Agricultural Research, 16 August 2018,Research article,Ethiopia,2011-2012,examines the differences and magnitudes of relatedness among the selection criteria that farmers use to generate and maintain the sorghum landrace diversity that produces livelihood and environmental benefits. ,north Shewa and south Wollo ,Sorghum,Qualitative study,Interview; Survey/questionnaire,"","correlation, t-Tests, and linear regression analysis",Excel,300,Farmer/grower,"Digestibility; Milling/processing quality; End-use quality (baking, malting, etc.)",No,Beverages,"",Sorghum,Ethiopia,Farmers,"phenolic compounds, tannins","none for home consumption, some for brewing","","",Sorghum,Ethiopia,Farmers,digestibility,digestible and absorbable ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"",Sorghum farmers in Ethiopia select varieties without tannins for consumption with high digestibility. Varieties with tannins are preferred for brewing.
785,Birol 2015,Investigating demand for biofortified seeds in developing countries: high-iron pearl millet in India.,Consensus,10.1108/JADEE-02-2014-0008,Investigating demand for biofortified seeds in developing countries: High-iron pearl millet in India,Journal of Agribusiness in Developing and Emerging Economies,2015,Research article,India,2010,"To investigate farmer acceptance and demand for a hypothetical high-iron (biofortified) pearl millet variety prior to commercialization, and to assess trade-offs between nutritional, consumption, production, and price attributes of pearl millet seed","Maharashtra, India",Pearl millet,Experimental study,Choice experiment,Likert-scale,"Latent Class Model, t-test",No/not reported,630,Farmer/grower; Consumer,Micronutrients; Color,No,Roti,"",Pearl Millet,India,"Farmer/grower, consumer",Roti Color,Light-colored roti,"household size, farm size, diet",coefficients for light-colored roti vs. medium colored roti: 0.759 vs. 0.684; 0.0306 vs. -0.095; 0.551 vs. 0.509,Pearl Millet,India,"Farmer/grower, consumer",Iron,High Iron,"household size, farm size, diet","coefficients for added nutrition: 2.985, 0.358. 0.762","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Household size; Farm size; Other: diet,"","There is strong and heterogeneous farmer demand for high-iron pearl millet.
Grain quality traits related to end use (roti color) significantly influence preferences alongside nutrition.
Households producing mainly for home consumption value iron content and lighter roti color most.
Market-oriented producers place less value on consumption traits and may prefer darker grain linked to feed markets.
Successful dissemination of biofortified pearl millet requires multiple varieties tailored to different preference segments"
774,Isaacs 2023,Participatory evaluation of sorghum processing and sensory attributes in Mali: methodology for improving food security outcomes from variety development efforts.,Consensus,https://doi.org/10.3390/su15054312,Participatory Evaluation of Sorghum Processing and Sensory Attributes in Mali: Methodology for Improving Food Security Outcomes from Variety Development Efforts,Sustainability,28 February 2023,Research article,Mali,2006,to determine what grain quality traits make for acceptable sorghum varieties to be used in Malian cooking.,Mande’ and Dioila zones in Mali,Sorghum,Mixed methods,Ranking; Sensory evaluation/taste testing; Observations; Cooking quality test,"","",R; SPSS,"255 farmers, 101 women, 124 men",Farmer/grower; Processor/miller,"Color; Hardness; Grain morphology (e.g. pericarp thickness); Sensory (aroma, taste, appearance, etc.); Milling/processing quality; End-use quality (baking, malting, etc.)",Yes,"porridge, paste, beverages, to","",Sorghum,Mali,Farmer/processor,Color,"Cream, No red and brown spots","",0.83 preference score,Sorghum,Mali,Farmer/processor,Morphology,No glumes,"","",Sorghum,Mali,Farmer/processor,Hardness,Hard,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"",Farmers in Mali value hard grains for their ease of processing and decorticating in home cooking. They also preferred white/cream grains without spots or glumes.
773,Kakuru 2021,Consumer preferences for the quality characteristics of sorghum grain in eastern Uganda: a choice experiment approach.,Consensus,https://dx.doi.org/10.4314/acsj.v29i4.6,CONSUMER PREFERENCES FOR THE QUALITY CHARACTERISTICS OF SORGHUM GRAIN IN EASTERN UGANDA: A CHOICE EXPERIMENT APPROACH,African Crop Science Journal,16 November 2021,Research article,Uganda,"",To determine what preferences consumers in eastern Uganda have for sorghum grain used to make a traditional paste.,"Soroti, Kumi, and Bukedea districts of Eastern Uganda",Sorghum,Qualitative study,Interview; Survey/questionnaire; Choice experiment; Willingness to pay,"",Mixed Logit,"Other: Nlogit Software, NGENE 4 software",120,Consumer; Chef/brewer/home cook,"Size and shape; Color; Sensory (aroma, taste, appearance, etc.)",No,paste,"",Sorghum,Uganda,Consumer,Taste,Sweet,"","",Sorghum,Uganda,Consumer,Aroma,good,"","",Sorghum,Uganda,Consumer,Grain size,Large,"","",Sorghum,Uganda,Consumer,Texture,elastic,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"","Consumers in Eastern Uganda preferred sorghum with sweet taste, good smell, and large size for a local paste. There was no preference for color."
