"variable","standard"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","texture/carbohydrate"
"Preference","firm"
"Methods","Sensory evaluation/taste testing"
"Analysis","agglomerative hierarchical clustering"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","texture/carbohydrate"
"Preference","firm"
"Methods","Sensory evaluation/taste testing"
"Analysis","PCA"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","texture/carbohydrate"
"Preference","firm"
"Methods","Sensory evaluation/taste testing"
"Analysis","PLSR"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Finger millet"
"VC Actor","Consumers"
"Trait","color"
"Preference","White"
"Methods","Interview"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","Consumers"
"Trait","color"
"Preference","White"
"Methods","Focus group"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","Consumers"
"Trait","color"
"Preference","White"
"Methods","Survey/questionnaire"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","Consumers"
"Trait","color"
"Preference","White"
"Methods","Observations"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","home brewer"
"Trait","Size"
"Preference","large"
"Methods","Interview"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","home brewer"
"Trait","Size"
"Preference","large"
"Methods","Focus group"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","home brewer"
"Trait","Size"
"Preference","large"
"Methods","Survey/questionnaire"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","home brewer"
"Trait","Size"
"Preference","large"
"Methods","Observations"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","consumer"
"Trait","Size"
"Preference","large"
"Methods","Interview"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","consumer"
"Trait","Size"
"Preference","large"
"Methods","Focus group"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","consumer"
"Trait","Size"
"Preference","large"
"Methods","Survey/questionnaire"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","consumer"
"Trait","Size"
"Preference","large"
"Methods","Observations"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","home brewer"
"Trait","brewing quality"
"Preference","higher alcohol recovery"
"Methods","Interview"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","home brewer"
"Trait","brewing quality"
"Preference","higher alcohol recovery"
"Methods","Focus group"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","home brewer"
"Trait","brewing quality"
"Preference","higher alcohol recovery"
"Methods","Survey/questionnaire"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","home brewer"
"Trait","brewing quality"
"Preference","higher alcohol recovery"
"Methods","Observations"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","consumer"
"Trait","brewing quality"
"Preference","higher alcohol recovery"
"Methods","Interview"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","consumer"
"Trait","brewing quality"
"Preference","higher alcohol recovery"
"Methods","Focus group"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","consumer"
"Trait","brewing quality"
"Preference","higher alcohol recovery"
"Methods","Survey/questionnaire"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","consumer"
"Trait","brewing quality"
"Preference","higher alcohol recovery"
"Methods","Observations"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","Consumer"
"Trait","Food quality"
"Preference","good"
"Methods","Interview"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","Consumer"
"Trait","Food quality"
"Preference","good"
"Methods","Focus group"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","Consumer"
"Trait","Food quality"
"Preference","good"
"Methods","Survey/questionnaire"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Finger millet"
"VC Actor","Consumer"
"Trait","Food quality"
"Preference","good"
"Methods","Observations"
"Analysis",NA
"Publication Type","Other: Case study, Book"
"Type of study","Qualitative study"
"Software","No/not reported"
"Country","Nepal"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","endosperm texture"
